id,name,category,specialises_in,address,area,area_detail,city,country,price_tier,price_guide,access,instagram,website,materials,occasions,multiple_locations,status,note,last_reviewed
huelley-rose,Huelley Rose,Womenswear,,214 Hai Bà Trưng,D1,D1 · Tân Định,Ho Chi Minh City,Vietnam,premium,,walk-in store,https://instagram.com/huelleyrose,,,bday,,recorded,Romantic RTW; worldwide shipping. Shares its building with Huelley & Stress Mama.,2026-08-28
huelley,Huelley,Womenswear,,214 Hai Bà Trưng,D1,D1 · Tân Định,Ho Chi Minh City,Vietnam,premium,,walk-in store,,https://huelley.com/,,bday,,recorded,Sister label to Huelley Rose. 8:30–21:40.,2026-08-28
stress-mama,Stress Mama,Womenswear,,214 Hai Bà Trưng · Vincom Đồng Khởi · Thảo Điền,D1,D1 · Tân Định,Ho Chi Minh City,Vietnam,mid,,walk-in store,https://instagram.com/stress.mama,,,,yes,recorded,Playful streetwear; 3 locations across the city.,2026-08-28
dawn-vintage,Dawn Vintage,Vintage,,"2F, 42 Tôn Thất Thiệp",D1,D1 · Bến Nghé,Ho Chi Minh City,Vietnam,mid,,walk-in store,https://instagram.com/dawnavintage,,circular,,,recorded,Curated vintage inside the 42 TTT multi-brand building.,2026-08-28
1998-before-the-dawn,1998 Before The Dawn,Vintage,,"2F, 42 Tôn Thất Thiệp",D1,D1 · Bến Nghé,Ho Chi Minh City,Vietnam,mid,,walk-in store,https://instagram.com/1998beforethedawn,,circular,,,recorded,Vintage; pairs with Dawn Vintage. 10:00–21:00.,2026-08-28
depass,Depass,Womenswear,,"Rm 38E, 1F, 42 Tôn Thất Thiệp",D1,D1 · Bến Nghé,Ho Chi Minh City,Vietnam,mid,,walk-in store,https://instagram.com/depass.store,,,,,recorded,Local label in the 42 TTT building.,2026-08-28
mangata,Mangata,Womenswear,,"1F, 40E Ngô Đức Kế",D1,D1,Ho Chi Minh City,Vietnam,premium,,walk-in store,https://instagram.com/mangata.vn,,,,,recorded,"Founder-run; has a sister coffee brand, Blubean.",2026-08-28
josephine,Josephine,Womenswear,,106A Lê Thị Riêng,D1,D1 · Bến Thành,Ho Chi Minh City,Vietnam,premium,,walk-in store,https://instagram.com/josephineofficial.vn,,,bday,,recorded,Feminine RTW; also a Hanoi branch on Phố Huế.,2026-08-28
lsoul,LSOUL,Womenswear,,257B Nguyễn Trãi,D1,D1,Ho Chi Minh City,Vietnam,premium,,walk-in store,https://instagram.com/lsoul.officiel,,,,,recorded,Well-known minimalist label. 9:30–21:30.,2026-08-28
jubin-studio,Jubin Studio,Womenswear,,4B Phan Kế Bính,D1,D1 · Đa Kao,Ho Chi Minh City,Vietnam,mid,,walk-in store,https://instagram.com/jubinstudio,https://global.jubinstudio.com/,,,,recorded,“The perfect wardrobe for petite girls.”,2026-08-28
moodswings,Moodswings,Womenswear,,75E Đặng Dung,D1,D1 · Tân Định,Ho Chi Minh City,Vietnam,mid,,walk-in store,https://instagram.com/moodswingsvn,,,,,recorded,10:00–21:30; worldwide shipping.,2026-08-28
cem-chi-em-minh,CEM — Chị Em Mình,Womenswear,,26 Ký Con,D1,D1 · Bến Thành,Ho Chi Minh City,Vietnam,mid,,walk-in store,https://instagram.com/cem_club,,,,,recorded,Vietnam-based; worldwide shipping.,2026-08-28
pomelo-flower,Pomelo Flower,Womenswear,,245/43 Nguyễn Trãi,D1,D1,Ho Chi Minh City,Vietnam,premium,,walk-in store,https://instagram.com/pomelo.flower,,,,,recorded,"“Timeless fashion for ladies,” made in Saigon.",2026-08-28
clothes-bar,Clothes Bar,Womenswear,,149/19 Lê Thị Riêng,D1,D1 · Bến Thành,Ho Chi Minh City,Vietnam,premium,,walk-in store,https://instagram.com/clothesbar.vn,,,,,recorded,“Be your own muse.” Also a Singapore pop-up.,2026-08-28
jenea-by-jenny,Jenéa by Jenny,Womenswear,,380 Hai Bà Trưng,D1,D1 · Tân Định,Ho Chi Minh City,Vietnam,premium,,walk-in store,https://instagram.com/jeneabyjenny.official,,,,,recorded,Recently moved to this new location.,2026-08-28
calista-de-minh-thanh,Calista de Minh Thanh,Womenswear,,265 Lý Tự Trọng,D1,D1,Ho Chi Minh City,Vietnam,premium,,walk-in store,https://instagram.com/calistademinhthanh.official,,,,,recorded,Also stocked on MEAN BLVD. Next to Enuff.,2026-08-28
enuff-studio,Enuff Studio,Womenswear,,261 Lý Tự Trọng,D1,D1 · Bến Thành,Ho Chi Minh City,Vietnam,premium,,walk-in store,https://instagram.com/enuffstudiobyst,,,,,recorded,HCMC-based; worldwide shipping.,2026-08-28
gout-de-jun,Goût De Jun,Womenswear,,55 Nguyễn Trãi + 1 Trần Quang Diệu + TNP,D1 / D3,D1 / D3,Ho Chi Minh City,Vietnam,premium,,walk-in store,https://instagram.com/goutdejun.ig,,,,,recorded,Three points of sale across the centre.,2026-08-28
hoang-studios,Hoang Studios,Womenswear,,41 Nguyễn Trãi,D1,D1 · Bến Thành,Ho Chi Minh City,Vietnam,mid,,walk-in store,https://instagram.com/hoangstudios,,,,,confirm-first,Sparse online presence — check it's still trading as fashion before you go.,2026-08-28
de-pure,De Pure,Womenswear,,21 Đặng Thị Như — opening soon,D1,D1,Ho Chi Minh City,Vietnam,premium,,by appointment,https://instagram.com/depure.offical,,,,,recorded,Store “coming soon”; online meanwhile. Faces Daphale.,2026-08-28
arya,Arya,Womenswear,,"386 Concept + Daspace, 46/13 Trần Quý Khoách (D1 · Tân Định)",D1 / D3,D1 / D3 · hubs,Ho Chi Minh City,Vietnam,premium,,sold via a stockist or hub,https://instagram.com/arya.theofficial,,,,,recorded,Sold via multi-brand hubs; no standalone store.,2026-08-28
babie-club,Babie Club,Womenswear,,The New Playground + 11 Garmentory,D1,D1 · hubs,Ho Chi Minh City,Vietnam,mid,,sold via a stockist or hub,https://instagram.com/babieclub_wear,,,,,recorded,Sun-ready shorts & daily wear via two hubs.,2026-08-28
elena-ngn,Elena NGN,Womenswear,,"Stocked at Rue Miche, 9B Phùng Khắc Khoan",D1,D1 · Đa Kao,Ho Chi Minh City,Vietnam,premium,,sold via a stockist or hub,https://instagram.com/elena.ngn,,,,,recorded,“Flowers on men.” Own Hanoi store closed.,2026-08-28
teddy-and,Teddy And,Womenswear,,"Pop-up @ Rue Miche L'Édition, 171 Đồng Khởi",D1,D1 · Đồng Khởi,Ho Chi Minh City,Vietnam,premium,,pop-up,https://instagram.com/teddyand,,,,,recorded,Summer pop-up — check IG it's still running.,2026-08-28
whose-studio,Whose Studio,Womenswear,,386/15 Lê Văn Sỹ,D3,D3 · P.14,Ho Chi Minh City,Vietnam,mid,,walk-in store,https://instagram.com/whose.studio,,,,,recorded,“New home” — recently relocated. 10:00–21:00.,2026-08-28
firefly-studio,Firefly Studio,Womenswear,,816/24 Trường Sa,D3,D3 · Nhiêu Lộc,Ho Chi Minh City,Vietnam,premium,,walk-in store,https://instagram.com/firefly_studio.vn,,,,,recorded,Has a swim line (FFSD). 10:30–21:30.,2026-08-28
daniv-dear,Daniv Dear,Womenswear,,"4F, 563/32 Nguyễn Đình Chiểu",D3,D3 · P.2,Ho Chi Minh City,Vietnam,mid,,walk-in store,https://instagram.com/daniv.dear,,,bday,,recorded,Coquette-leaning RTW. 10:00–21:00.,2026-08-28
resel-studio,Résel Studio,Womenswear,,245 Võ Văn Tần,D3,D3,Ho Chi Minh City,Vietnam,premium,,walk-in store,https://instagram.com/resel.stu,,,,,recorded,"Slow fashion, in-house production; Bangkok branch too.",2026-08-28
resel-bridal,Résel Bridal,Bridal,,245 Võ Văn Tần,D3,D3,Ho Chi Minh City,Vietnam,couture,,by appointment,https://instagram.com/resel.bridal,,,event,,recorded,"Private 1:1 bridal fittings, by appointment.",2026-08-28
